gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3453927640	StillImage	image/jpeg	https://image.laji.fi/MM.96482/minkki-2015-08-20-pihlajasaari.jpg											
3453927405	StillImage	image/jpeg	https://image.laji.fi/MM.137849/DSC_4560.JPG											
3453927405	StillImage	image/jpeg	https://image.laji.fi/MM.137848/DSC_4559.JPG											
3453927405	StillImage	image/jpeg	https://image.laji.fi/MM.137847/DSC_4558.JPG											
3453922744	StillImage	image/jpeg	https://image.laji.fi/MM.1554928/05602A1B-3EE5-4A3A-A0BB-686E721BB102.jpeg											
3453922744	StillImage	image/jpeg	https://image.laji.fi/MM.1554926/CCB1BAAF-1F4E-42DB-8171-D7BDB138428C.jpeg											
3453922744	StillImage	image/jpeg	https://image.laji.fi/MM.1554927/DC6A802D-D11A-4E03-A453-4926A879F380.jpeg											
3453916770	StillImage	image/jpeg	https://image.laji.fi/MM.1554925/05602A1B-3EE5-4A3A-A0BB-686E721BB102.jpeg											
3453916770	StillImage	image/jpeg	https://image.laji.fi/MM.1554924/DC6A802D-D11A-4E03-A453-4926A879F380.jpeg											
3453916770	StillImage	image/jpeg	https://image.laji.fi/MM.1554923/CCB1BAAF-1F4E-42DB-8171-D7BDB138428C.jpeg											
3451568304	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/b5dbf744-9f67-45ea-85d6-8b608f27a809_image.jpg										© All rights reserved	Thorleif Thorsen
3449338904	StillImage	image/jpeg	https://image.laji.fi/MM.339860/Minkki_(1).JPG											
3449338904	StillImage	image/jpeg	https://image.laji.fi/MM.339859/Minkki_(5).JPG											
3449338904	StillImage	image/jpeg	https://image.laji.fi/MM.339856/Minkki_(3).JPG											
3447354865				https://naturgucker.net/?sprache=en&bild=-1794810569										
3434532818	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/75db8cd6-31d9-4df2-9e01-491a6a5c1001_image.jpg	https://www.artportalen.se/Image/3538386					2021-08-09T00:00:00Z				© all rights reserved	Elionor Carlbark
3434530878	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/48bdefe1-8ec0-4aaa-ac2f-126217e7de59_image.jpg	https://www.artportalen.se/Image/3542378					2021-08-10T00:00:00Z				© all rights reserved	Robin Fjellström
3434461101	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/0cc01860-0411-4243-af9a-a172c6c9fb78_image.jpg	https://www.artportalen.se/Image/3469494					2021-07-12T00:00:00Z				© all rights reserved	Malin Olsson
3434461101	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/bdaca0a4-bf0c-4829-869f-314f8dec9ac5_image.jpg	https://www.artportalen.se/Image/3469492					2021-07-12T00:00:00Z				© all rights reserved	Malin Olsson
3434461101	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/ed754f53-e175-4231-b6fb-ddf839baf43d_image.jpg	https://www.artportalen.se/Image/3469491					2021-07-12T00:00:00Z				© all rights reserved	Malin Olsson
3434461101	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/9613dba9-a9a8-4916-93b1-20c2f6d6ac6b_image.jpg	https://www.artportalen.se/Image/3469490					2021-07-12T00:00:00Z				© all rights reserved	Malin Olsson
3434461101	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/3b66a025-1766-48d9-a080-3b911bcee5c6_image.jpg	https://www.artportalen.se/Image/3469493					2021-07-12T00:00:00Z				© all rights reserved	Malin Olsson
3434426555	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/a91775f0-2c05-41da-9933-d9cc522c2ffe_image.jpg	https://www.artportalen.se/Image/3516101					2021-07-31T00:00:00Z				© all rights reserved	Anders Klippinger
3434426555	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/82597e03-38d8-4d3c-9e84-2bf2d8f38b54_image.jpg	https://www.artportalen.se/Image/3516102					2021-07-31T00:00:00Z				© all rights reserved	Anders Klippinger
3434380890	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/f3bc8017-cdcb-4e23-9401-052e5e8708e3_image.jpg	https://www.artportalen.se/Image/3539822					2021-08-09T00:00:00Z				© all rights reserved	Stina Holmberg
3434380890	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/1c7bbc6c-2ba7-4866-9f09-1a96c3e1530c_image.jpg	https://www.artportalen.se/Image/3539824					2021-08-09T00:00:00Z				© all rights reserved	Stina Holmberg
3434380890	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/1bef3597-1078-4875-b632-3f05d80b8f60_image.jpg	https://www.artportalen.se/Image/3539825					2021-08-09T00:00:00Z				© all rights reserved	Stina Holmberg
3434283115	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/aab0c5b4-c3cf-4b2f-8a65-a71f13487161_image.jpg	https://www.artportalen.se/Image/3642810					2021-09-28T00:00:00Z				© all rights reserved	Tage Larsson
3434283115	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/2e5cb95c-3e04-436d-9976-58dedb871261_image.jpg	https://www.artportalen.se/Image/3642809					2021-09-28T00:00:00Z				© all rights reserved	Tage Larsson
3434264326	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/2f73fbbb-7556-4857-afa9-6c5ada139515_image.jpg	https://www.artportalen.se/Image/3499629					2021-07-24T00:00:00Z				© all rights reserved	Petronella Sjögren
3434264326	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/a23024c3-ddd1-406e-89a6-9d3abaf5b5d5_image.jpg	https://www.artportalen.se/Image/3499630					2021-07-24T00:00:00Z				© all rights reserved	Petronella Sjögren
3434264326	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/305ca4a2-d264-46fb-8165-6b3cab66649b_image.jpg	https://www.artportalen.se/Image/3499631					2021-07-24T00:00:00Z				© all rights reserved	Petronella Sjögren
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/486405bc-881d-4cf1-8139-7fea9bc40973_image.jpg	https://www.artportalen.se/Image/3625561					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/25b5ea4f-1818-4bf8-b1e5-84f9b00e9b54_image.jpg	https://www.artportalen.se/Image/3625559					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/09f9c182-3e29-4ba6-8bc3-d63c22b66a36_image.jpg	https://www.artportalen.se/Image/3625560					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/b8cbd7db-6817-4337-bc7d-8f7d3b899b14_image.jpg	https://www.artportalen.se/Image/3625562					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
